state,school_name,school_location,program_name,program_url
New-York,Keller Graduate School of Management,"New York, New York",MBA with a Business Intelligence and Analytics Management Concentration,http://keller.edu/graduate-degree-programs/mba-program/business-intelligence-mba.html
New-York,Manhattan College,"Riverdale, New York",M.S. in Applied Mathematics - Data Analytics,https://manhattan.edu/academics/5-year-programs/applied-mathematics-data-analytics.php
New-York,Marist College,"Poughkeepsie, New York",Advanced Certificate in Business Analytics,http://www.marist.edu/admission/graduate/business-analytics/
New-York,New York Institute of Technology,"Old Westbury, New York",Master of Science in Data Science,https://www.nyit.edu/degrees/data_science_ms
New-York,New York University,"New York, New York",Advanced Certificate in Applied Urban Science and Informatics,http://cusp.nyu.edu/advanced-certificate-in-applied-urban-science-and-informatics/
New-York,Pace University-New York,"New York, New York",Master of Science in Enterprise Analytics,https://www.pace.edu/seidenberg/enterprise-analytics-ms
New-York,Pratt Institute-Main,"Brooklyn, New York",Advanced Certificate in Spatial Analysis and Design,https://www.pratt.edu/academics/information/advanced-certificates/spatial-analysis-and-design/
New-York,Rensselaer Polytechnic Institute,"Troy, New York",M.S. in Information Technology - Concentration in Data Science and Analytics,https://science.rpi.edu/itws/programs/graduate/ms
New-York,Rochester Institute of Technology,"Rochester, New York",Advanced Certificate in Applied Statistics,https://www.rit.edu/programs/applied-statistics-adv-cert
New-York,St. John's University,"Queens, New York",Master of Science in Data Mining and Predictive Analytics,http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science
New-York,Stony Brook University,"Stony Brook, New York",Advanced Graduate Certificate in Geospatial Science,http://www.stonybrook.edu/commcms/gss/education/Graduate.html
New-York,SUNY College of Environmental Science and Forestry,"Syracuse, New York",Master of Science in Geospatial Information Science and Engineering,http://www.esf.edu/ere/graduate/gisce/
New-York,Syracuse University,"Syracuse, New York",Master of Science in Applied Data Science,https://ischool.syr.edu/academics/graduate/masters-degrees/ms-in-applied-data-science/
New-York,The New School,"New York, New York",Data Visualization (MS),http://www.newschool.edu/parsons/ms-data-visualization/
New-York,Trocaire College,"Buffalo, New York",Certificate in Healthcare Informatics,https://trocaire.edu/academic-program/healthcare-informatics/
New-York,University at Buffalo,"Buffalo, New York",Dual Master of Science (MS) in Management Science: Business Analytics and Systems / Master of Business Administration (MBA),http://mgt.buffalo.edu/degree-programs/abroad/business-analytics-amrita.html
New-York,University of Rochester,"Rochester, New York",MA and MS in Medical Statistics,http://www.urmc.rochester.edu/education/graduate/phd/statistics/
New-York,Utica College,"Utica, New York",Online Master of Science in Data Science,http://programs.online.utica.edu/programs/masters-data-science
New-York,Yeshiva University,"New York, New York",Master's in Quantitative Economics,https://www.yu.edu/katz-school-graduate-and-professional-studies/programs/graduate-programs/katz-school-graduate-and
North-Carolina,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Online MBA with a Specialization in Data Analytics and Decision Making,https://requestinfo.onlinemba.unc.edu/index.html?s=mastersindatasciencesite&l=schools_north-carolina--listings-featured-program
North-Carolina,Appalachian State University,"Boone, North Carolina",Master of Science in Applied Data Analytics,http://www.appstate.edu/academics/graduate/id/applied-data-analytics-ms
North-Carolina,Duke University,"Durham, North Carolina",Big Data and Data Science Certificate,http://learnmore.duke.edu/certificates/big-data-and-data-science-online-program
North-Carolina,North Carolina State University at Raleigh,"Raleigh, North Carolina",Graduate Certificate in Geospatial Information Science,http://online.geospatial.ncsu.edu/programs/graduate-certificate-in-gis/
North-Carolina,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Online MBA with a Specialization in Data Analytics and Decision Making,https://requestinfo.onlinemba.unc.edu/index.html?s=mastersindatasciencesite&l=specialties_online_masters_ba_sp&utm_source=mastersindatasciencesite&utm_medium=link&utm_campaign=specialties_online_masters_ba_sp
North-Carolina,University of North Carolina at Charlotte,"Charlotte, North Carolina",Graduate Certificate in Data Science and Business Analytics,http://analytics.uncc.edu/academics
North-Carolina,University of North Carolina at Greensboro,"Greensboro, North Carolina",Graduate Certificate in Business Analytics,http://bae.uncg.edu/isscm/graduate/certificates/graduate-certificate-in-business-analytics-2/
North-Carolina,University of North Carolina Wilmington,"Wilmington, North Carolina",Master of Science in Data Science,http://uncw.edu/datascience/index.html
North-Carolina,Wake Forest University,"Winston Salem, North Carolina",Master of Science in Business Analytics,http://business.wfu.edu/ms-analytics/
North-Dakota,Minot State University,"Minot, North Dakota",Master of Science in Information Systems,http://www.minotstateu.edu/business/pages/grad_programs/msis.shtml
North-Dakota,North Dakota State University-Main Campus,"Fargo, North Dakota",Master of Science in Applied Statistics,https://bulletin.ndsu.edu/programs-study/graduate/statistics/
North-Dakota,University of North Dakota,"Grand Forks, North Dakota",Graduate Certificate in Geographic Information Science,http://und.edu/academics/extended-learning/online-distance/graduate-certificates/geographic-information-science/
Ohio,Bowling Green State University,"Huron, Ohio | Bowling Green, Ohio",M.S. in Analytics,http://www.bgsu.edu/graduate/analytics.html
Ohio,Case Western Reserve University,"Cleveland, Ohio",MSM - Business Analytics,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/
Ohio,Cleveland State University,"Cleveland, Ohio",Graduate Certificate in Advanced Business Analytics,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Ohio,Kent State University at Kent,"Kent, Ohio",Graduate Certificate in Health Informatics,https://onlinedegrees.kent.edu/ischool/health-informatics/certificate
Ohio,Ohio State University-Main Campus,"Columbus, Ohio",Master of Applied Statistics,http://www.stat.osu.edu/dept/descriptions-programs/master-applied-statistics/quarters
Ohio,Ohio University,"Athens, Ohio",Online MBA in Business Analytics,http://onlinemba.ohio.edu/lp-responsive-portals/?Access_Code=OU-MBABA-FA2015A&utm_source=email&utm_campaign=OU-MBABA-FA2015A
Ohio,University of Cincinnati,"Cincinnati, Ohio",Doctor of Philosophy in Biomedical Informatics,http://med.uc.edu/bmigrad/doctoral/about
